x13,col,yr,site,sample.core.no,replicate.section,type.1,sample,region,loc.collect,principal.habitat,cervicornis,long,lat,water.depth,date,collector,loc.store,type.2,type.3,penetration.depth.m,recovery.m,bot.m,top.m,section.length,type.4,max,min,method,temp,notes,wet,dry,x2mm,x500,x250,x106,x63,otoliths,spicules,mollusks,dermal.denticles,gastropods,bivalvia,scaphop,bryozoa,urchins,crustacean,corals,halimedas,otolitos.vertebras.dientes,residuos,sagittal.number,sagittal.weight.mg,other.number,other.weight.mg,dientes.number,dientes.weight.mg,huesos.number,huesos.weight.mg,name,desc,long.1,lat.deg,lat.dec.mins,long.deg,long.dec.mins,lat.deg.1,lat.mins,lat.sec,long.deg.1,long.mins,long.sec
NA,AT,12, 1,1,1,M,AT12-1-1-1,Bocas,STRI Point,Fringing reef,dead,-82.26256,9.349446,12,4-Sep-2012,Aaron,STRI,Large Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA,10050.00, 400.4200,2843.6000,NA,NA,NA,NA,NA, 1,NA, 63.520, 31.740,0.016,0.648,10.634,5.140,145.040, 0.481,0.000, 134.370,NA,NA,NA,NA,NA,NA,NA,NA,AT12-1-1-1 (M),Sub Recent,-82.26256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12, 1,1,1,O,AT12-1-1-1,Bocas,STRI Point,Fringing reef,dead,-82.26256,9.349446,12,4-Sep-2012,Aaron,STRI,Small Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA,  850.00,  34.6540, 157.1040, 123.8340,  94.6840,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 38,NA, 0, 0, 0, 0, 0, 0,AT12-1-1-1 (O),Sub Recent,-82.26256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12, 1,1,1,S,AT12-1-1-1,Bocas,STRI Point,Fringing reef,dead,-82.26256,9.349446,12,4-Sep-2012,Aaron,Scripps,Small Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,Sent to Scripps with Katie,NA,  633.65,  34.9532, 126.2129,  95.4482,  84.3180, 58.5000,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT12-1-1-1 (S),Sub Recent,-82.26256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12, 1,1,2,M,AT12-1-1-2,Bocas,STRI Point,Fringing reef,dead,-82.26256,9.349446,12,4-Sep-2012,Brigida,STRI,Large Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT12-1-1-2 (M),Sub Recent,-82.26256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12, 1,1,2,O,AT12-1-1-2,Bocas,STRI Point,Fringing reef,dead,-82.26256,9.349446,12,4-Sep-2012,Brigida,STRI,Small Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA, 1150.00,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT12-1-1-2 (O),Sub Recent,-82.26256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12, 1,1,2,S,AT12-1-1-2,Bocas,STRI Point,Fringing reef,dead,-82.26256,9.349446,12,4-Sep-2012,Brigida,Scripps,Small Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,Sent to Scripps with Katie,NA,  635.65,  19.4551, 118.0374,  86.5779,  78.5807, 68.3862,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT12-1-1-2 (S),Sub Recent,-82.26256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12, 1,2,1,M,AT12-1-2-1,Bocas,STRI Point,Fringing reef,dead,-82.26256,9.349446,10,4-Sep-2012,Aaron,STRI,Large Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA, 9100.00, 291.3420,1143.6000,NA,NA,NA,NA,NA, 1,NA, 46.280, 32.170,0.033,0.000, 4.580,0.640,180.200, 0.129,0.000,  27.310,NA,NA,NA,NA,NA,NA,NA,NA,AT12-1-2-1 (M),Sub Recent,-82.26256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12, 1,2,1,O,AT12-1-2-1,Bocas,STRI Point,Fringing reef,dead,-82.26256,9.349446,10,4-Sep-2012,Aaron,STRI,Small Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA, 1150.00,  57.6350, 261.7680, 159.4210, 167.8310,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 89,NA, 0, 0, 3, 0, 0, 0,AT12-1-2-1 (O),Sub Recent,-82.26256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12, 1,2,1,S,AT12-1-2-1,Bocas,STRI Point,Fringing reef,dead,-82.26256,9.349446,10,4-Sep-2012,Aaron,STRI,Small Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA, 1150.00,NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AT12-1-2-1 (S),Sub Recent,-82.26256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,AT,12, 1,2,2,M,AT12-1-2-2,Bocas,STRI Point,Fringing reef,dead,-82.26256,9.349446,10,4-Sep-2012,Brigida,STRI,Large Bulk,NA,NA,NA,NA,NA,NA,Sub Recent,NA,NA,NA,NA,NA,NA,10100.00, 453.4400,2422.0000,NA,NA,NA,NA,NA, 1,NA, 70.630, 40.660,0.000,0.163,14.274,3.318,199.490, 0.218,0.414, 137.790,NA,NA,NA,NA,NA,NA,NA,NA,AT12-1-2-2 (M),Sub Recent,-82.26256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
